country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,,,,16,,25.8,,,21.2,,
Albania,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,45.2,44.5,44.2,36.5,,32.5,30.7,43.6,44.1,43.4,44.3,,49.3,27.2,27.3,27.3,27.3,36.7,45.7,46.1,46.9,52.5,48.8,43.9,44,47,49.7,49.6,51.3,52.9
Algeria,,,,,,,2.91,,,,,,,,,3.29,,3.79,,,,,,2.44,5.93,8.53,,7.78,,,,,,,,,11.8,7.37,,,6.65,,,,,,,,,13.9,14.2,,15.8,16.6,15.6,16.3,16.9,13.5,,
Angola,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7,,,,,60.9,75.7,74.9,,,45.4,,,,,
Antigua and Barbuda,23.4,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,59.9,,,,,,,,,,66.2,,,,,,,,,,,,,,,,,,
Argentina,23.2,,,,,,,,,,26.5,,,,,,,29,29.4,29.7,27.4,,,27.9,,28,,28.2,,29.1,29.1,39.6,35.2,37.9,36.8,41.3,44.5,44.5,45.5,46.8,44.1,43.2,45.6,49,50.3,49.5,50.1,48.9,48.4,49.1,48,48.2,48.4,48,47.7,,,48,49.5,50.3
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3,,,35.3,,,,,,,42.4,48.6,51,52.2,51.2,49.7,51.3,55.2,54.2,52.4,52.8,47.6,
Australia,,28.9,,,,,35.2,,,,,37.1,,,,,43.8,,,43.6,44.8,44.7,44.6,44.7,45.3,46.3,48.3,48.9,49.9,51.2,52.2,52,51.9,51.7,52.6,53.6,53.8,53.6,53.6,53.6,54.5,55,55.2,55.9,55.7,57,57.5,58.1,58.5,58.7,58.6,58.9,58.8,58.7,58.7,59.1,59.3,59.8,60.5,61
Austria,,44.8,,,,,,,,,,39.2,,,,,,,,,37.4,42.4,39.1,39.1,40.6,40.1,40.6,41.5,41.8,42.1,43,43.5,44.8,45.3,48.6,49.4,48.8,48.7,49.3,49.5,49.4,49.4,50.7,50.8,50,51.3,52,52.8,53.4,54,54.2,54.5,55,55.3,55.3,55.4,55.9,55.9,55.9,56
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3,,,,46.8,,,43.6,44.7,44.2,57.2,72.7,70.7,68.8,67,65.4,64.1,62.5,62.1,61.9,61.8,62,61.5,61.4,61.4,62,62.4,62.8,62.9,63.1,63.3
Bahamas,,,,52.9,,,,,,,57,,,,,,,,,32.8,57.5,,,,,,,,,47.1,64.5,68.5,69.9,69.5,67,69.5,68.2,70.5,65.9,70.9,,71.1,71.9,,,,,,,69.1,,70,69.1,69.8,,,,,,
Bahrain,,,,,,2.44,,,,,,6.2,,,,,,,,8.62,,18.2,,,,17.2,,17.8,,,28,29.2,29.7,30.4,31.1,31.7,32.4,33.1,33.7,34.4,35.1,35.5,36.4,37.1,37.2,26.4,39.1,,,,43.7,42.5,,,,43.5,,,,
Bangladesh,,18.1,,,,,,,,,,,,,3.43,,,,,,,4.48,,,7.94,8.33,9.72,,,67.4,,62.6,,,,,55.9,,,,55.9,,,26.1,,,29,,,,35.5,,,33.6,,,33.2,36.3,,
Barbados,30.5,,,,,,29.8,,,,44.7,,,,,,,,35.6,,52.5,,,54.5,,,57.6,58.4,60.8,61.3,60.2,58.2,59.3,,61,62.8,61.5,62.2,62,61.5,,63.8,62.8,63.9,64.4,64.5,62.8,62,62.5,62.1,61.9,63,61,62,60.5,61.8,63.1,,,
Belarus,,,,,,,,,,,46.6,,,,,,,,,,,,,,,,,,,61.3,,,,,,,,46,,52.7,,,,,,,53.3,53.5,54.9,55.2,,,,,,85.5,66.9,67.1,66.2,66.3
Belgium,,25.5,,,,,,,,,28.1,,,,,,,28.7,,30.2,30.7,28.5,,36.3,36.1,36.5,36.9,36.6,36.4,36.2,36.6,38,38.9,39.6,40.2,40.5,40.6,41,41.7,43.2,43.6,41.9,42.6,42.9,44.2,45.7,45.8,46.5,46.9,47,47.7,47,47.1,47.8,48.1,48,47.8,48.7,49.5,49.8
Belize,18.8,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,34.8,,21,38.6,39.6,39.6,,,,,,27.8,,,,,,,53.7,46.5,47.5,47.9,49.2,48.8,,
Benin,,52.5,,,,,,,,,,,,,,70.1,,42.9,,38.7,,,,,,,38.9,,,,,,57.5,,,,61.4,,,,,68.7,65.6,78.3,,,,,,,74.6,69.7,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,55.8,,,66,63.9,62.8,63.2,58.9,54.8,55.9,,,,
Bolivia,,,,,,,,,,,,,,,,,22.2,,,,23,23.2,23.2,,,23.4,23.8,24,,44.4,24.3,41,46.9,43.2,44.4,52.8,56.3,59.8,,,59.6,60.2,61.8,63.9,63.9,60.5,63.6,43.5,62.4,62.8,,62.1,58.1,59.1,61.4,54.9,57.1,59.3,63.8,61
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,30.8,31.4,31.8,33,32.6,32.5,32.3,32.9,33.4,32.1,32.3,31.4,32.8
Botswana,,,,,44.9,,,,,,,49.3,,,,,,,,,,44.7,,,,64.2,,,,,,41.7,,,50.5,,45.7,,47.7,,48.5,46.2,,,,,52.7,,,55.8,52.9,,,63.2,,,,,,
Brazil,18.4,,,,,,,,,,21.1,,,37.2,,,,,,,30.1,,,,,41.1,41.1,43.2,43.3,43.4,44,44,52.6,52.5,,49,47.8,48.7,49.5,50.6,,53.4,54.7,55,56.1,57.1,56.9,56.7,56.4,56.8,,54.1,51.7,51.5,51.5,51.9,51.9,52.8,52.9,53.6
Brunei,20.1,,,,,,,,,,,20,,,,,,,19.8,,,31.3,,,,,38.7,,,,,46.4,,,,,,,,,,56.4,,,,,,,,,,56.4,,,58.4,,,56.5,57.3,54.9
Bulgaria,,,,,,59.5,,,,,,,,,,60.6,,,,,,,,,,,,,,,,,53.8,,,,,46.9,,,44.7,46.4,46,44.8,45.4,44.4,46.3,47.5,48.3,47.5,47.8,47.2,47.8,48.6,48.6,48.6,47.7,49.5,49.2,50.3
Burkina Faso,,,,,,,,,,,,,,,,3.06,,,,,,,,,,75.2,,,,,,79.4,,,73.4,,,,,,,,,,,85.6,61.1,85,,,,,,,58.2,,,,37.9,
Burundi,,,,,,,,,,,,,,,,,,,42.1,93.1,41,,62.2,,62.2,,87,,,,90.5,,,,,,,,86,,,,,,,,,,70.2,,,,,,79.8,,,,,
Cambodia,,,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.1,,,65.1,,73.5,77.5,76.5,81.9,,,75.5,,,74.7,,77.4,81.3,81.8,61.4,74.5,74.3,73.4,75.9,76.4,,
Cameroon,,,,,,,,,,,,,,,,,48.3,,,,54.7,,48.2,,,49.7,,30.3,,,,,,,,,61.5,,,,,65.5,,,,68.3,,79.5,,,70.7,,,,67.2,,,,,
Canada,,29.7,,,,,,,,,,39.9,,,,,45.7,46.5,47.9,49.4,50.6,52,52.1,53,53.8,54.9,55.7,56.5,57.4,58.1,58.5,58.4,57.8,57.7,57.5,57.5,57.5,57.8,58.4,58.9,59.4,59.8,60.9,61.9,62,61.7,61.9,62.5,62.6,62.4,62.4,62.2,62.1,62.2,61.6,61.2,61.3,61.5,61.3,61.4
Cape Verde,56.7,,,,,,,,,,,,,,,,,,,,20.7,,,,,,,,,,41.1,,,,,,,,,,,,,,,,,,,,,,,,,59.4,,52.1,48.7,50.5
Central African Republic,,,,,,,,,,,,,,,,53.2,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,14.7,,,,,,,,25.3,,,,,,,,25.3,,,,,64.7,,,,,,,,,,,,,,,,,,,,,,,,,49.2,
Chile,22.7,,,,,,,,,,21.7,,,,,,,,,,26.3,26.8,27.4,28.4,28.7,29.8,29.6,,31.2,31.6,31.8,31.3,33.4,34.9,35,33.9,36.8,37.6,37.9,38.1,37.8,36.8,36.5,37.8,39.3,40.2,41.3,42.3,44.2,44.7,45.5,47.5,47.7,47.9,48.5,48.4,48.2,48.7,49.2,49.4
China,,,,,,,,,,,,,,,,,,,,,,,70.6,,,,,,,,73,,,,,,,,,,70.6,,,,,,,,,,63.7,,,,,,,,,
Colombia,,,,,20.3,,,,,,,,,23.9,,,,,,,22.4,,,,,31.6,32.6,34.3,,46.4,,,,31.4,,,37.3,,,,57.1,53.6,53.8,54.9,53.1,52.2,,50.1,50.5,54,55.4,56.2,57.7,57.5,57.6,58.2,57.9,57.7,57,56
Comoros,,,,,,,,,,,,,,,,,,,,,27.1,,,,,,,,,,,26.6,,,,,,,,,,,,,32.5,,,,,,,,,,33,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2,,,,,,,62.5,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,56.2,,,,,,,,,,49.3,,,,,,,,,,,,,,,,,,,,,66.9,,,,46.6,,,43,,,,,,,
Costa Rica,,,,17.5,,,,,,,,,,20,,,,,,,,,,,22.3,,,,,,32.9,33.6,32.8,33.7,34.7,35.7,34.1,37.1,39.5,40.2,38.3,42.2,42,42.5,40.8,44.5,44.4,45.5,46.1,46.2,44.4,44.1,49.2,48.9,48.7,47.6,43.7,43.9,46.4,50.4
Cote d'Ivoire,,,,,73.9,,,,,,58.8,,,,,44.9,,,64.5,,,,,,,,,,42,,,,,,,,,,48.3,,,,,,,,,,,,,,62.5,69.6,,,49.5,46.2,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,,,,,,,35.1,,44,42.5,44,42.8,43.6,42.6,42.8,45.1,45.7,46.7,46.1,44.6,44.5,44.6,46.4,46.9,45.4,45.6,45.5,45.2
Cuba,,,,,,,,,,,18.3,,,,,,,,,,,32.8,,,,,40.5,,41.2,,,,,,,,,,,,,,,,30.7,,32.2,33.6,41.2,42.3,41.8,41.6,57.4,57.3,,,,,,
Cyprus,40.8,,,,,,,,,,,,,,,,27.7,,21.6,,,,,,27.1,32.3,,33.4,46.8,47.5,48.2,48.7,43.3,,,47.6,,,,,49.1,51.8,52.4,53.9,53.5,53.3,54.4,55.8,55.8,56.7,57.8,57.5,56.9,57.1,58.6,57.7,56.4,56.8,57.4,57.5
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8,,52.3,52.6,52.3,51.8,51.6,51.7,52,51.6,51.1,50.8,50.9,50.5,50.7,50.6,49.8,49.3,49.5,49.3,49.5,50,50.9,50.9,51.3,51.9,52.3,52.8,52.6
Denmark,36.5,,,,,41.1,,,,,43.9,,,,51,,52.2,53.7,54.9,55.7,,57,,58.3,59.3,59.7,60.8,60.4,60.8,60.5,61.5,61.7,62.4,61.9,58.3,57.5,58.7,59,59.5,60,60.2,59.7,60.2,59.7,60.4,60.4,60.9,60.7,59.9,59.7,58.8,58.6,58.1,57.6,57,56.7,57.6,57.6,57.6,58
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,,,,,,,,,,,,,,,,,,,,,,,
Dominica,31.8,,,,,,,,,,21.8,,,,,,,,,,,38.1,,,,,,,,43.5,,25.7,,,,,,59.5,,54.5,,45.1,,,,,,,,,,,,,,,,,,
Dominican Republic,11,,,,,,,,,,26.8,,,,,,,,,27.1,,30.6,,,,,,,,,,37.2,42.2,25.2,37,,43,41.6,41.4,,40,38.6,40.2,39.3,39.2,39.8,40.7,40.4,42,39,41.7,43.7,45.3,45.2,45.4,48.3,49,49.2,50.5,52.8
Ecuador,,,17.6,,,,,,,,,,,,17.1,,,,,,30.3,30.2,19.6,,,,,,32.8,32.7,28.2,,,,,,48.4,48.8,52.2,,46,54.7,53.2,49.2,52.9,52,52.8,52.1,52.2,49.9,48.2,47.3,48.3,48.3,47.9,52.1,55.6,56.4,54.6,54.5
Egypt,5.22,,,,,,5.84,,,,,,,4.36,,5.14,6.42,6.92,8.32,7.77,7.4,5.95,5.83,17.1,18,,9.84,,,30,26.7,22,22.8,22.1,23,21.6,14.5,,19.6,20.4,13.4,20.2,18.4,13.6,14.1,23.1,21.1,23.2,21.7,22.8,23.1,22.4,22.4,22.9,23.1,22.7,23,22,18.4,
El Salvador,,18.9,,,,,,,,,,24.5,,,,17.6,,,34.9,37.7,38.7,,,,,,,,,,51,49.7,40.5,42.2,43.6,41.8,40.6,40.8,44.7,44.5,44.3,44.5,43.9,45.8,44.1,44.7,45.8,45.9,47.3,47.6,46.8,46.6,47.4,48.6,47,46,46.5,45.7,45.5,46.3
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,42.4,,,,,,,,,,,73.5,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,66.5,64.8,61.7,59.8,59.5,58.1,57.9,58.5,52.6,51.6,52.7,52.3,51.2,52.4,53.3,53.6,54.8,54.1,54.7,54.7,55.1,55.7,55.4,55.4,54.6,55.9,56.4,57.1,57.4,57.6
Eswatini,,,,,,,50,,,,,,,,,,28.2,,,,,,,,,,27.7,,,,,,,,,,,31.9,,,,,,,,,,,,,,,,,,,47.1,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,28.4,,,,,,46.8,,,,,,,66.5,,,,,54.5,,,,,,74.8,,,,,,,,74.3,,,,,,
Fiji,,,,,,,7.53,,,,,,,,,,17.1,,,,,,21.4,,,,23.4,,,,,,,,,,39.4,,,,,,,,,34.8,,,,,,45.5,,,41.3,,38.6,,,
Finland,48.5,,,,,,,,,,48.8,,,,,,48.7,42.7,,54,44.1,55.6,71.5,,59.6,48.6,48.2,47.8,47.7,47.7,64.8,63.5,62.1,61.3,60.5,56.3,54.6,54.9,55.1,58.1,58.3,58.5,58.7,58.3,57.8,56.8,57.1,57.4,57.4,57,56,55.8,56,55.5,55.5,55.6,55,55.2,55.9,55.8
